ID группы;ID производителя;Наименование материала;Декор;Текстура;Завал постформинга;Единица измерения;Стоимость;Длина;Ширина;Толщина;Текстура
3;1;Камень Вентура чёрный;F117;ST76;300/3;м;87.55;4100;1200;38;F117 ST76.jpg
3;1;Камень Металл антрацит;F121;ST87;300/3;м;87.55;4100;1200;38;F121 ST87.jpg
3;1;Мрамор Каррара белый;F204;ST75;300/3;м;87.55;4100;1200;38;F204 ST75.jpg
3;1;Сланец Юрский антрацит;F242;ST10;300/3;м;87.55;4100;1200;38;F242 ST10.jpg
3;1;Ферро бронза;F302;ST87;300/3;м;87.55;4100;1200;38;F302 ST87.jpg
3;1;Бетон орнаментальный серый;F333;ST76;300/3;м;87.55;4100;1200;38;F333 ST76.jpg
3;1;Гранит Галиция серо-бежевый;F371;ST89;300/3;м;87.55;4100;1200;38;F371 ST89.jpg
3;1;Спаркл Грэйн рустикальный;F484;ST87;300/3;м;87.55;4100;1200;38;F484 ST87.jpg
3;1;Металл блоки;F547;ST9;300/3;м;87.55;4100;1200;38;F547 ST9.jpg
3;1;Хромикс белый;F637;ST16;300/3;м;87.55;4100;1200;38;F637 ST16.jpg
3;1;Мрамор Леванто белый;F812;ST9;300/3;м;87.55;4100;1200;38;F812 ST9.jpg
3;1;Кашемир серый;U702;ST89;300/3;м;87.55;4100;1200;38;U702 ST89.jpg
3;1;Черный;U999;ST89;300/3;м;87.55;4100;1200;38;U999 ST89.jpg
3;1;Сосна Силэнд;H110;ST9;300/3;м;87.55;4100;1200;38;H110 ST9.jpg
3;1;Сосна Пасадена;H1486;ST36;300/3;м;87.55;4100;1200;38;H1486 ST36.jpg
3;1;Дуб Кастл;H195;ST10;300/3;м;87.55;4100;1200;38;H195 ST10.jpg
3;1;Древесина винтаж натуральная;H197;ST10;300/3;м;87.55;4100;1200;38;H197 ST10.jpg
3;1;Древесина винтаж серая;H198;ST10;300/3;м;87.55;4100;1200;38;H198 ST10.jpg
3;1;Дуб Хэлфорд чёрный;H2031;ST10;300/3;м;87.55;4100;1200;38;H2031 ST10.jpg
3;1;Дуб Хантон светлый;H2032;ST10;300/3;м;87.55;4100;1200;38;H2032 ST10.jpg
3;1;Дуб Хантон тёмный;H2033;ST10;300/3;м;87.55;4100;1200;38;H2033 ST10.jpg
3;1;Дуб Антор натуральный;H3330;ST36;300/3;м;87.55;4100;1200;38;H3330 ST36.jpg
3;1;Серый перламутровый;U763;ST76;300/3;м;87.55;4100;1200;38;U763 ST76.jpg
3;1;Белый Премиум;W1000;ST76;300/3;м;87.55;4100;1200;38;W1000 ST76.jpg
3;1;Дуб Галифакс белый;H1176;ST37;100/1.5;м;184.35;4100;1200;38;H1176 ST37.jpg
3;1;Дуб Галифакс натуральный;H1180;ST37;100/1.5;м;184.35;4100;1200;38;H1180 ST37.jpg
3;1;Дуб Галифакс табак;H1181;ST37;100/1.5;м;184.35;4100;1200;38;H1181 ST37.jpg
3;1;Дуб Шерман коньяк коричневый;H1344;ST32;100/1.5;м;184.35;4100;1200;38;H1344 ST32.jpg
3;1;Дуб Галифакс олово;H3176;ST37;100/1.5;м;184.35;4100;1200;38;H3176 ST37.jpg
